model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT14,18,RWT14/mesh_P18.h5,50118,32768,1160,608,2136,7104,17976,4,0,28984,40440,69424,0.5783151761842052,0.806895726086436,1.3852109022706414,0.000303817,1.30726e-05,1.18285e-05,35.1739,48.8364,49.2707,38.6438125,8.40268e-05,1.14728e-05,1.03726e-05,40.7558,49.4033,49.8411,42.9724,0.0,4.643997184932232
RWT14,19,RWT14/mesh_P19.h5,50119,32768,968,456,1864,5904,15312,4,0,24504,35200,59704,0.48891637901793733,0.702328458269319,1.1912448372872564,0.000265459,1.18984e-05,1.01285e-05,35.76,49.2451,49.9445,39.2187,8.42225e-05,1.1431e-05,9.60082e-06,40.7457,49.4192,50.1769,43.0087875,0.0,4.188864916563034
RWT14,2,RWT14/mesh_P2.h5,50118,32768,1272,480,1968,7168,22336,4,0,33224,66656,99880,0.6629155193742767,1.3299812442635381,1.9928967636378148,0.000571196,1.38272e-05,8.39174e-06,32.4321,48.5927,50.7615,36.74335,9.02864e-05,1.3061e-05,8.26452e-06,40.4438,48.8402,50.8278,42.79135,0.0,4.301371097564697
RWT14,20,RWT14/mesh_P20.h5,50118,32768,976,392,1664,5328,15568,4,0,23928,40328,64256,0.47743325751227106,0.8046610000399058,1.2820942575521768,0.000298586,1.39108e-05,8.65687e-06,35.2493,48.5665,50.6264,38.8360875,8.51486e-05,1.30999e-05,8.33751e-06,40.6982,48.8273,50.7896,42.9757625,0.0,4.233155943453312
RWT14,21,RWT14/mesh_P21.h5,50119,32768,896,456,1616,5696,15080,4,0,23744,37704,61448,0.4737524691234861,0.7522895508689319,1.226042019992418,0.000279557,1.09537e-05,9.78512e-06,35.5353,49.6044,50.0943,39.113812499999995,8.18982e-05,1.12754e-05,9.56793e-06,40.8673,49.4787,50.1918,43.1092875,0.0,4.380358554422855
RWT14,22,RWT14/mesh_P22.h5,50119,32768,1120,512,1904,6912,19680,4,0,30128,49088,79216,0.6011293122368763,0.9794289590773958,1.580558271314272,0.00039697,1.32763e-05,1.23855e-05,34.0124,48.7692,49.0709,37.7393125,8.15055e-05,1.1902e-05,1.11603e-05,40.8881,49.2438,49.5232,43.01195,0.0,4.276313304901123
RWT14,23,RWT14/mesh_P23.h5,50119,32768,1040,368,1488,5208,12832,4,0,20936,30104,51040,0.4177258125660927,0.6006504519244199,1.0183762644905126,0.000218197,8.86377e-06,1.0759e-05,36.6115,50.5238,49.6823,39.9843875,7.7701e-05,8.76085e-06,1.00603e-05,41.0957,50.5745,49.9739,43.390325000000004,0.0,4.169449761509895
RWT14,24,RWT14/mesh_P24.h5,50118,32768,936,464,1656,6552,19672,4,0,29280,51304,80584,0.5842212378786065,1.0236641525998644,1.607885390478471,0.000365217,1.28212e-05,8.08144e-06,34.3745,48.9207,50.9251,38.261599999999994,9.10006e-05,1.27357e-05,8.02439e-06,40.4096,48.9498,50.9559,42.7954125,0.0,4.245161093771458
RWT14,25,RWT14/mesh_P25.h5,50119,32768,1232,584,2200,7824,20912,4,0,32752,49560,82312,0.6534847063987709,0.9888465452223708,1.6423312516211417,0.000394178,1.43464e-05,9.27703e-06,34.0431,48.4326,50.3259,37.8771375,8.74777e-05,1.29976e-05,8.70471e-06,40.581,48.8614,50.6025,42.8687375,0.0,4.299677520990372
RWT14,26,RWT14/mesh_P26.h5,50119,32768,944,320,1480,4984,13432,4,0,21160,33384,54544,0.422195175482352,0.6660946946267883,1.0882898701091404,0.000255549,1.23138e-05,6.34241e-06,35.9253,49.0961,51.9775,39.578175,8.3182e-05,1.22615e-05,6.48187e-06,40.7997,49.1146,51.883,43.224475,0.0,4.242190331220627
