endpoint,rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv_psnr_611
Full,Canonical_Full,32k8k,32768,RWT323,32,1833437,2803560,1.5291280802121916,8.084107986453857e-05,40.92367893869277,2.7777114502489042e-05,45.5631287093582,2.7101781085142278e-05,45.670021670580134,42.09690300151186
Full,Canonical_Full,32k8k,32768,RWT339,16,1598356,3525200,2.205516167862479,8.448007044901135e-05,40.73245732646388,3.3839538185110205e-05,44.7057557249551,2.3240096080222423e-05,46.33762080798739,41.92976506146572
Full,Canonical_Full,32k8k,32768,RWT380,16,1376586,4748080,3.4491706293685973,8.544643398726996e-05,40.683060573665,3.605371850069665e-05,44.430499364632546,3.0627594462169455e-05,45.13887112002809,41.708466740831334
Full,Canonical_Full,32k8k,32768,RWT391,16,1175911,3389720,2.8826331244456425,5.642994306788525e-05,42.484903878890194,1.9945859636656173e-05,47.001472415095186,1.2966399485207639e-05,48.87180602234223,43.847837713847326
Full,Canonical_Full,32k8k,32768,RWT405,8,483584,826136,1.7083609052408681,7.352920000000001e-05,41.335401591401265,1.63473125e-05,47.865536351967236,1.5159600000000001e-05,48.19312257812448,43.00888355981241
Full,Canonical_Full,32k8k,32768,RWT438,64,4357239,6232032,1.4302708664821921,4.9746416433112794e-05,43.03238198925883,2.7047978759324423e-05,45.678651832919705,2.1777240834482567e-05,46.61997145988281,43.81161440354444
Full,Canonical_Full,32k8k,32768,RWT449,32,3114413,8828040,2.8345758895817608,7.532792429141542e-05,41.230439996615935,2.7024008099182735e-06,55.682502376135844,1.458170776974666e-06,58.3619160965699,45.178382306550176
Full,Canonical_Full,32k8k,32768,RWT453,32,2002771,1974776,0.9860218667036821,6.249047945980844e-05,42.041861431842435,1.4677762564122411e-05,48.333401419753656,8.745999643315185e-06,50.581905447028305,43.89580943222957
Full,Canonical_Full,32k8k,32768,RWT463,16,1551288,4279216,2.7584922980130058,8.339948989594454e-05,40.78836605669863,4.73861277167747e-05,43.24348779377155,5.3368682804675845e-05,42.72713515909551,41.337602411632346
Full,Canonical_Full,32k8k,32768,RWT499,16,1596325,1861288,1.1659831174729456,4.952592764474653e-05,43.05167381166062,1.367098936620049e-05,48.64200054508015,8.895906711139649e-06,50.508097800616696,44.68251765195757
Full,Canonical_Full,32k8k,32768,RWT529,8,663415,846608,1.276136355071863,7.000158205859079e-05,41.54892144677859,2.8777745611721164e-05,45.409432307864066,2.263489429949579e-05,46.452215292338,42.6443970351092
Full,Canonical_Full,32k8k,32768,RWT535,64,3331913,11377256,3.414631774599157,8.553865856506455e-05,40.67837564721694,2.870908110301799e-05,45.419807078265606,2.1553992433385866e-05,46.664722739396744,42.01934796262049
Full,Canonical_Full,32k8k,32768,RWT541,16,1350922,1454920,1.0769829790320982,8.193320140141325e-05,40.8654007548596,1.777503253074567e-05,47.50189595779045,1.79769095527351e-05,47.45284966638066,42.51839376916609
