dataset,sample,method,endpoint,operating_point,physical_bpp,Y,U,V,YUV611,pending_sample,source_artifact
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.1753870927598248,37.2124,48.2141,50.4738,40.2452875,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R06/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.14246752798897683,35.934,49.1961,49.9412,39.342662499999996,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R07/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.11983745127761476,34.5626,49.0021,49.2558,38.2041875,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R08/aggregate/aggregate.json
CTC,soldier_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.10475206621896299,33.3187,47.8099,49.0779,37.099999999999994,False,n30_main:results/Original_Unicorn/CTC/soldier_viewdep_vox12/R09/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,16k,3.4251614258590553,35.1246,38.2772,38.5469,35.9464625,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/16k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,16k,3.6035483960472963,36.9391,38.3766,38.526,37.317150000000005,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/16k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,1k,1.3272158647233463,25.371,34.5405,36.3311,27.8872,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/1k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,1k,1.3734734405409799,25.718,34.7963,36.4958,28.2000125,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/1k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,2k,2.2587253203743414,27.898,35.0316,37.1149,29.9418125,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/2k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,2k,2.419314817090331,29.1324,35.2414,37.1323,30.896012499999998,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/2k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,4k,2.9855995053174413,34.0225,37.2798,37.8143,34.9036375,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/4k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,4k,3.0236520098460855,34.9218,37.1637,37.7415,35.554500000000004,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/4k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,512,1.1545129873990716,24.8187,34.4764,36.3073,27.4619875,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/512/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,512,1.15855606600524,24.9302,34.6416,36.3536,27.57205,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/512/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Base,8k,2.7691045373647847,33.3182,37.3637,38.0681,34.417625,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/8k/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Ours,Ours Full,8k,2.874779513482874,34.3121,37.4505,37.9799,35.162875,True,n30_main:results/Ours/CTC/Shiva_00035_vox12/8k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,16k,2.431445382860345,37.5203,39.7281,39.7392,38.0736375,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/16k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,16k,2.5110515150302204,38.0222,39.8476,39.7405,38.4651625,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/16k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,1k,1.1389344754433015,28.4531,35.2351,34.9018,30.106937499999997,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/1k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,1k,1.1530240563583236,28.6842,35.5135,35.2791,30.362225,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/1k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,2k,1.8222311171596686,31.5924,36.444,37.1419,32.8925375,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/2k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,2k,1.8792939198655085,32.1518,36.6165,37.2784,33.3507125,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/2k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,32k,3.0300124084377376,39.2277,40.4541,40.2527,39.509125,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/32k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,32k,3.883857022775487,43.1039,40.563,40.1952,42.4227,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/32k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,4k,2.0805988071888883,36.1201,38.8516,39.1084,36.835074999999996,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/4k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,4k,2.092302765880799,36.4088,38.7304,38.9631,37.0182875,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/4k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,512,1.0135051835247968,27.7574,35.0234,35.0343,29.5752625,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/512/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,512,1.0155545771124364,28.0401,35.3224,35.1794,29.842799999999997,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/512/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Base,8k,1.9608373694111996,35.6234,38.74,38.9794,36.432475,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/8k/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Ours,Ours Full,8k,1.9971660729295921,35.8209,38.8806,39.0308,36.604600000000005,False,n30_main:results/Ours/CTC/Staue_Klimt_vox12/8k/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,16k,0.32995816581289145,38.9,44.7051,44.4659,40.321374999999996,False,n30_main:results/Ours/CTC/Thaidancer_viewdep_vox12/16k/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,16k,0.5217635210360949,41.1325,45.7168,45.0762,42.198499999999996,False,n30_main:results/Ours/CTC/Thaidancer_viewdep_vox12/16k/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Ours,Ours Base,1k,0.1282595604455285,33.5874,40.3652,40.0704,35.245000000000005,False,n30_main:results/Ours/CTC/Thaidancer_viewdep_vox12/1k/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Ours,Ours Full,1k,0.14817384748331983,34.4032,40.5574,40.1999,35.8970625,False,n30_main:results/Ours/CTC/Thaidancer_viewdep_vox12/1k/aggregate/aggregate.json
