dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
CTC,Facade_00009_vox12,Ours,Ours Base,Y,32k,2.011662286156439,38.807,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,4k,1.387530112744622,36.4049,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,512,0.5699495954162842,29.3384,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,Y,8k,1.2417333663307406,35.6676,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,16k,1.5845171153165403,38.74858749999999,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,1k,0.6694380311825499,32.5230125,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,2k,1.0581291096652121,34.628325000000004,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,32k,2.011662286156439,39.9928,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,4k,1.387530112744622,37.85937499999999,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,512,0.5699495954162842,31.891824999999997,True,[]
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,8k,1.2417333663307406,37.256575,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,16k,1.6595908112663174,37.8815,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,1k,0.673347597402394,30.0617,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,2k,1.0864333666440071,32.7192,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,32k,2.9445800192345644,42.9261,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,4k,1.3930436035674791,36.5077,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,512,0.5710472813164712,29.4561,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,Y,8k,1.2743080725650575,35.8964,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,16k,1.6595908112663174,39.131037500000005,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,1k,0.673347597402394,32.49155,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,2k,1.0864333666440071,34.7940875,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,32k,2.9445800192345644,43.0593375,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,4k,1.3930436035674791,37.9014875,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,512,0.5710472813164712,31.965187500000003,True,[]
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,8k,1.2743080725650575,37.4233625,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R01,1.4040020665141186,40.3199,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R02,1.0826686080624985,38.6463,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R03,0.8155264919066686,36.8199,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R04,0.6081243703267547,33.5846,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R05,0.4605711374799046,32.6853,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R06,0.28487866447915905,31.0575,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R07,0.22241796588601792,30.2506,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R08,0.17771031473092522,29.5263,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,R09,0.1503168345623455,28.9324,True,[]
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,R01,1.4040020665141186,41.459325,True,[]
