configuration,dataset,endpoint,lambda,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
DIAGNOSTIC_8k256_L8192,RWTT_Train,Official_Full,8192.0,20.0,1280449.6666666667,490056.0,0.3546079428171455,0.0005683805906859567,37.59902847183235,4.805243699753023e-05,46.40389995429215,2.9116280133282684e-05,48.543733415588264,40.06772552510932,19682.666666666668,1816.0,13424.0,42821.333333333336,135584.0,276728.0
DIAGNOSTIC_8k256_L8192,RWTT_Val,B_native,8192.0,28.0,2144542.0,432752.0,0.2017922707972145,0.002822937851503958,25.49298682974581,0.00010320244584218449,39.86310010042361,7.969950501691737e-05,40.985443758321054,29.22580810465244,41800.0,2304.0,23616.0,85976.0,279056.0,658280.0
DIAGNOSTIC_8k256_L8192,RWTT_Val,B_unpool,8192.0,28.0,2144542.0,432752.0,0.2017922707972145,0.003096688968761629,25.091024129622213,0.00019198032467785664,37.167432781802404,7.603893212808143e-05,41.189639908878426,28.612902183551764,41800.0,2304.0,23616.0,85976.0,279056.0,658280.0
DIAGNOSTIC_8k256_L8192,RWTT_Val,Official_Full,8192.0,28.0,2144542.0,1091032.0,0.5087482548721358,0.0010567957444514958,29.760089442248635,5.0547970767777e-05,42.96296274336999,4.905833446791902e-05,43.09287200191407,33.07704642484698,41800.0,2304.0,23616.0,85976.0,279056.0,658280.0
R03_32k8k_L8192,8i,B_native,8192.0,14.0,877508.25,244116.0,0.27814511762023997,0.00039211211865624457,34.88441335046988,7.352631529588062e-05,43.918627860036494,0.000132051606589513,42.5825926044688,36.97596257091557,17688.0,4234.0,17604.0,57434.0,147156.0,266828.0
R03_32k8k_L8192,8i,B_unpool,8192.0,14.0,877508.25,244116.0,0.27814511762023997,0.00048368234671805605,33.97093547370845,8.15733932921108e-05,43.71085117979776,0.00016784078750896713,41.963846629501134,36.1875388314437,17688.0,4234.0,17604.0,57434.0,147156.0,266828.0
R03_32k8k_L8192,8i,Canonical_Base,8192.0,14.0,877508.25,244116.0,0.27814511762023997,0.0002979516534041227,35.811048886546246,7.182024671556009e-05,44.001061116180075,0.0001272587047958373,42.68905250773875,37.69455086789954,17688.0,4234.0,17604.0,57434.0,147156.0,266828.0
R03_32k8k_L8192,8i,Official_Full,8192.0,14.0,877508.25,510944.0,0.5853568739703622,0.0001224010122471063,39.269889439736474,4.19588213457235e-05,45.1996905598436,5.7416604244277335e-05,44.56304435601715,40.67275894428495,17688.0,4234.0,17604.0,57434.0,147156.0,266828.0
R03_32k8k_L8192,Owlii,B_native,8192.0,8.0,700286.25,112442.0,0.1615962368163276,0.000282363264560163,35.681345061395746,3.6556182990633924e-05,44.413364085036875,1.8166667046934593e-05,47.54084827033993,38.255285340468916,12106.0,2628.0,8864.0,25796.0,63048.0,133514.0
R03_32k8k_L8192,Owlii,B_unpool,8192.0,8.0,700286.25,112442.0,0.1615962368163276,0.0003546548793827215,34.73506442519667,3.6934996282939464e-05,44.371543094859476,1.921940831459996e-05,47.31367118362652,37.51195010370825,12106.0,2628.0,8864.0,25796.0,63048.0,133514.0
R03_32k8k_L8192,Owlii,Canonical_Base,8192.0,8.0,700286.25,112442.0,0.1615962368163276,0.0002043569217008514,37.03848112819705,3.6399520889422404e-05,44.431165303488015,1.7711108858758247e-05,47.640649757898885,39.287837728821145,12106.0,2628.0,8864.0,25796.0,63048.0,133514.0
R03_32k8k_L8192,Owlii,Official_Full,8192.0,8.0,700286.25,245956.0,0.35491196646288603,9.314617046782199e-05,40.34549498131526,3.0181020183937425e-05,45.23594804680095,1.4836301186825656e-05,48.33617437968036,41.955636539296606,12106.0,2628.0,8864.0,25796.0,63048.0,133514.0
R03_32k8k_L8192,RWTT_Train,B_native,8192.0,20.0,1280449.6666666667,295178.6666666667,0.21351892987340917,0.0009639970663794123,38.754422878210434,4.548933391785158e-05,47.93704938032971,2.5833591508677032e-05,50.261332412047715,41.340614882705005,19682.666666666668,6293.333333333333,23320.0,68290.66666666667,177592.0,486517.3333333333
R03_32k8k_L8192,RWTT_Train,B_unpool,8192.0,20.0,1280449.6666666667,295178.6666666667,0.21351892987340917,0.0010416053195169456,38.33766739143547,4.838565961016447e-05,47.6697315453334,2.7305964183530217e-05,50.14221663974391,40.97974406671127,19682.666666666668,6293.333333333333,23320.0,68290.66666666667,177592.0,486517.3333333333
R03_32k8k_L8192,RWTT_Train,Canonical_Base,8192.0,20.0,1280449.6666666667,295178.6666666667,0.21351892987340917,0.000698959844348202,39.65760017142753,4.469017607165374e-05,48.015956837770034,2.5753201855317894e-05,50.71599163535641,42.08469368771146,19682.666666666668,6293.333333333333,23320.0,68290.66666666667,177592.0,486517.3333333333
R03_32k8k_L8192,RWTT_Train,Official_Full,8192.0,20.0,1280449.6666666667,781696.0,0.5652215130781338,0.00011965716466248918,44.9026023520664,3.0592022478752856e-05,48.913523481773204,2.1204724673217846e-05,50.5299665421849,46.10738801704457,19682.666666666668,6293.333333333333,23320.0,68290.66666666667,177592.0,486517.3333333333
R03_32k8k_L8192,RWTT_Val,B_native,8192.0,28.0,2144542.0,656880.0,0.3063031640322269,0.0015967881287967313,27.96752704774914,5.812344640328331e-05,42.35648642317017,4.94585145649001e-05,43.05758931362402,31.652404752911128,41800.0,10728.0,41488.0,140048.0,422816.0,1287224.0
R03_32k8k_L8192,RWTT_Val,B_unpool,8192.0,28.0,2144542.0,656880.0,0.3063031640322269,0.0017111087225584764,27.66722394838159,6.149704063982892e-05,42.11145782837848,5.3550700396961214e-05,42.71234844597836,31.353393745580796,41800.0,10728.0,41488.0,140048.0,422816.0,1287224.0
R03_32k8k_L8192,RWTT_Val,Canonical_Base,8192.0,28.0,2144542.0,656880.0,0.3063031640322269,0.0012747263684791438,28.945830304561838,5.712753085715737e-05,42.431545464328046,4.87568532430048e-05,43.11964331423192,32.40327132574137,41800.0,10728.0,41488.0,140048.0,422816.0,1287224.0
R03_32k8k_L8192,RWTT_Val,Official_Full,8192.0,28.0,2144542.0,1944104.0,0.9065357544874384,0.00019033343478854696,37.20484914977697,4.1272278841463585e-05,43.843415509687304,3.4685900857441816e-05,44.598470215814785,38.95887257802049,41800.0,10728.0,41488.0,140048.0,422816.0,1287224.0
R04_8k256_L4096,8i,B_native,4096.0,14.0,877508.25,163896.0,0.18648849909414164,0.0011208839840602621,30.37927964214546,0.0001379258627441713,41.40157630064386,0.0003060639951667989,39.970495438277865,32.95596869897431,17688.0,398.0,9196.0,33146.0,103468.0,163962.0
R04_8k256_L4096,8i,B_unpool,4096.0,14.0,877508.25,163896.0,0.18648849909414164,0.0012701013583495465,29.745169036871776,0.00038741012220844283,34.33041884810474,0.0003378490623329827,39.52585545564934,31.540911065623096,17688.0,398.0,9196.0,33146.0,103468.0,163962.0
R04_8k256_L4096,8i,Canonical_Base,4096.0,14.0,877508.25,163896.0,0.18648849909414164,0.0007578107203686834,32.95965142398241,0.00012271040282429957,42.748518991459626,0.0002900894401018036,40.65107396513362,35.14468768756096,17688.0,398.0,9196.0,33146.0,103468.0,163962.0
R04_8k256_L4096,8i,Official_Full,4096.0,14.0,877508.25,327858.0,0.3748497032879764,0.0002178181975380812,37.137596861710215,6.93592113652802e-05,44.01412539438155,0.00015623665987762354,42.27085836603379,38.63882061633458,17688.0,398.0,9196.0,33146.0,103468.0,163962.0
R04_8k256_L4096,Owlii,B_native,4096.0,8.0,700286.25,80158.0,0.11470464180031381,0.0007835873619123164,31.17221967022428,6.194595411542693e-05,42.16421515843636,3.3045597438008454e-05,45.14952681897017,34.29338249984402,12106.0,388.0,4924.0,17112.0,45628.0,48550.0
R04_8k256_L4096,Owlii,B_unpool,4096.0,8.0,700286.25,80158.0,0.11470464180031381,0.001011821460161425,30.029586183027867,0.0004893154633052366,33.16350978417823,3.62409457255987e-05,44.5916117991666,32.241579835189,12106.0,388.0,4924.0,17112.0,45628.0,48550.0
R04_8k256_L4096,Owlii,Canonical_Base,4096.0,8.0,700286.25,80158.0,0.11470464180031381,0.0003385502901052594,35.09193678524677,4.41084889011603e-05,43.636473714452386,2.3925233701242032e-05,46.47071587469797,37.582351287578874,12106.0,388.0,4924.0,17112.0,45628.0,48550.0
