run,configuration,point,profile,lambda,dataset,sequence,endpoint,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Dancer,Canonical_Base,8.0,702038.0,53112.0,0.07565402442602823,0.0004624853284295152,33.34902039969637,4.1526221652958956e-05,43.816775822520135,3.1861493494226805e-05,44.967338706849375,36.10977961594347,12728.0,248.0,3712.0,12304.0,24120.0,11960.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Dancer,Official_Full,8.0,702038.0,65072.0,0.0926901392802099,0.00032007044801705893,34.94754422249475,4.080043253997647e-05,43.893352327745994,3.317438101456046e-05,44.79197171687902,37.29632367244919,12728.0,248.0,3712.0,12304.0,24120.0,11960.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Exercise,B_unpool,8.0,645135.0,30104.0,0.046663101521386995,0.001718981455974331,27.64728808369062,0.0014764002270222514,28.307958966960342,9.492427290117573e-05,40.22622720774592,29.302239334606245,10016.0,64.0,2528.0,7256.0,10240.0,3856.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Exercise,B_native,8.0,645135.0,30104.0,0.046663101521386995,0.0007720833321320345,31.123358230684353,0.00010338204789230161,39.85554869155007,5.1059006653336126e-05,42.919276385950496,33.68937180770084,10016.0,64.0,2528.0,7256.0,10240.0,3856.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Exercise,Canonical_Base,8.0,645135.0,30104.0,0.046663101521386995,0.00029829900610879893,35.25348193644921,4.404002766568238e-05,43.56152416879,2.1703768588589984e-05,46.63464849786186,37.71463303566839,10016.0,64.0,2528.0,7256.0,10240.0,3856.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Exercise,Official_Full,8.0,645135.0,33960.0,0.05264014508591225,0.0002747649271501314,35.61038704353664,4.530018562006401e-05,43.439000184374024,2.305455724367768e-05,46.37243213868516,37.93421932303488,10016.0,64.0,2528.0,7256.0,10240.0,3856.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Model,B_unpool,8.0,657755.0,66208.0,0.10065753966142409,0.002076547971205084,26.826580316193507,0.0011360079174267015,29.44618641791598,0.00011114216279024866,39.54121156239398,28.743359984683874,11704.0,128.0,4128.0,14240.0,36008.0,29992.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Model,B_native,8.0,657755.0,66208.0,0.10065753966142409,0.0012762421434211826,28.940669184245863,0.00012078876659546485,39.17973453400746,8.620294369149607e-05,40.64477903465951,31.683566084267767,11704.0,128.0,4128.0,14240.0,36008.0,29992.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Model,Canonical_Base,8.0,657755.0,66208.0,0.10065753966142409,0.0006917732874185678,31.600362121260765,6.344366031896376e-05,41.97611768778878,5.457136129090619e-05,42.63035212539834,34.276080317593966,11704.0,128.0,4128.0,14240.0,36008.0,29992.0
full_88blocks_v2,R06_2k128_L1024,1K,2k128,1024,Owlii,Model,Official_Full,8.0,657755.0,96200.0,0.14625506457571588,0.0004405567350168376,33.55998155088208,5.930930636224734e-05,42.26877155123805,5.471632471573762e-05,42.618830817791704,35.78093645929028,11704.0,128.0,4128.0,14240.0,36008.0,29992.0
