configuration,point,profile,lambda,dataset,sequence,physical_bpp_B_native,physical_bpp_B_unpool,physical_bpp_Canonical_Base,physical_bpp_Official_Full,yuv611_B_native,yuv611_B_unpool,yuv611_Canonical_Base,yuv611_Official_Full,gain_native_db,gain_synthesis_db,native_r5_gap_db,canonical_to_full_gap_db,r5_delta_bpp
R03_32k8k_L8192,8K,32k8k,8192,Owlii,Dancer,0.1672388104347628,0.1672388104347628,0.1672388104347628,0.34738860289613954,38.37059202602472,37.53634832687174,39.64757493756412,42.349543852610026,0.834243699152978,1.276982911539406,3.978951826585309,2.701968915045903,0.18014979246137675
R03_32k8k_L8192,8K,32k8k,8192,Owlii,Exercise,0.11201376456090585,0.11201376456090585,0.11201376456090585,0.2743983817340557,39.167210520259054,38.7066047251816,39.68255153164417,41.6262788057216,0.4606057950774556,0.515341011385118,2.4590682854625427,1.9437272740774247,0.16238461717314984
R03_32k8k_L8192,8K,32k8k,8192,Owlii,Model,0.23270670690454653,0.23270670690454653,0.23270670690454653,0.5225289051394516,36.40979485619533,35.52163016350619,37.62043779209675,41.27490509778584,0.8881646926891449,1.2106429359014186,4.865110241590507,3.6544673056890886,0.28982219823490507
R03_32k8k_L8192,8K,32k8k,8192,RWTT_Train,train_high,0.3233675894801967,0.3233675894801967,0.3233675894801967,0.8584077590398445,31.04561179208079,30.76123383022518,32.38354238244726,39.36662376941832,0.28437796185561126,1.3379305903664687,8.321011977337527,6.983081386971058,0.5350401695596477
R03_32k8k_L8192,8K,32k8k,8192,RWTT_Train,train_low,0.0026633964833094755,0.0026633964833094755,0.0026633964833094755,0.00381977310771555,59.319635898972535,58.92454288179953,59.74783931462471,59.98988473934516,0.3950930171730036,0.42820341565217745,0.6702488403726221,0.24204542472044466,0.0011563766244060743
R03_32k8k_L8192,8K,32k8k,8192,RWTT_Train,train_typical,0.3145258036567214,0.3145258036567214,0.3145258036567214,0.8334370070868415,33.65659695706169,33.25345548810909,34.122699366062406,38.96565554237023,0.4031414689525974,0.46610240900071886,5.3090585853085415,4.842956176307823,0.5189112034301202
R03_32k8k_L8192,8K,32k8k,8192,RWTT_Val,val28,0.3063031640322269,0.3063031640322269,0.3063031640322269,0.9065357544874384,31.652404752911128,31.353393745580796,32.40327132574137,38.95887257802049,0.29901100733033203,0.7508665728302439,7.306467825109362,6.555601252279118,0.6002325904552115
R04_8k256_L4096,4K,8k256,4096,8i,Longdress,0.2690176533802039,0.2690176533802039,0.2690176533802039,0.665751323479019,27.773173211558404,27.344788749935688,28.539887141262483,34.498245920452874,0.4283844616227164,0.7667139297040784,6.725072708894469,5.958358779190391,0.3967336700988151
R04_8k256_L4096,4K,8k256,4096,8i,Loot,0.11377835176366131,0.11377835176366131,0.11377835176366131,0.18346796475781865,36.076120038255624,33.86414662668427,39.60693929053683,41.53885443280035,2.211973411571357,3.530819252281205,5.462734394544725,1.9319151422635201,0.06968961299415734
R04_8k256_L4096,4K,8k256,4096,8i,Redandblack,0.18817169532170766,0.18817169532170766,0.18817169532170766,0.34884933303945803,33.01518557155249,31.15663791354427,34.595745315742334,38.05652542697742,1.8585476580082236,1.5805597441898414,5.04133985542493,3.4607801112350884,0.16067763771775037
R04_8k256_L4096,4K,8k256,4096,8i,Soldier,0.17498629591099366,0.17498629591099366,0.17498629591099366,0.30133019187561005,34.95939597453072,33.798070972328155,37.8361790027022,40.461656685107656,1.1613250022025667,2.876783028171481,5.502260710576934,2.625477682405453,0.1263438959646164
R04_8k256_L4096,4K,8k256,4096,Owlii,Basketball,0.1041826537237964,0.1041826537237964,0.1041826537237964,0.15010983186744317,35.070578794176875,32.71522955614079,38.963355350096506,40.83312314509443,2.3553492380360836,3.8927765559196317,5.762544350917558,1.8697677949979266,0.045927178143646774
