configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,endpoint,physical_bits,physical_bpp,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,8,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,26920,0.5020327477527881,1288,344,1912,6168,17208,34088,0.0007855,0.000142215,0.000183695,31.0485,38.4705,37.359,32.7650625,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,8,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,26920,0.5020327477527881,1288,344,1912,6168,17208,34088,0.000546702,0.000138456,0.000168674,32.6225,38.5869,37.7295,34.00642500000001,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,8,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,61008,1.1377419715788295,1288,344,1912,6168,17208,34088,0.000188874,7.52285e-05,7.93472e-05,37.2383,41.2362,41.0047,38.2088375,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,9,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,33336,0.6216735356097197,1216,504,2000,7216,22400,46944,0.00154456,0.000282114,0.00024408,28.112,35.4958,36.1247,30.0365625,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,9,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,33336,0.6216735356097197,1216,504,2000,7216,22400,46944,0.00125074,0.000242587,0.000205389,29.0283,36.1513,36.8742,30.8994125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,9,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,33336,0.6216735356097197,1216,504,2000,7216,22400,46944,0.00080339,0.000218114,0.000193109,30.9507,36.6132,37.142,32.432425,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,9,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,80280,1.497118773660556,1216,504,2000,7216,22400,46944,0.000208689,8.40962e-05,9.12008e-05,36.805,40.7522,40.4,37.747775,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,10,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,28632,0.533949984148593,1216,384,1864,6432,18736,35352,0.0010403,0.000146,0.000154937,29.8284,38.3565,38.0984,31.9281625,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,10,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,28632,0.533949984148593,1216,384,1864,6432,18736,35352,0.000817685,0.000124998,0.000141943,30.8741,39.031,38.4789,32.8443125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,10,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,28632,0.533949984148593,1216,384,1864,6432,18736,35352,0.000576306,0.000115343,0.000136253,32.3935,39.3801,38.6566,34.0497125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,10,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,63984,1.193219327527367,1216,384,1864,6432,18736,35352,0.000192654,6.05697e-05,7.53595e-05,37.1522,42.1774,41.2286,38.2899,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,11,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,28880,0.5385748652630401,1208,448,1808,6440,18976,38792,0.00116341,0.000224919,0.000182934,29.3427,36.4797,37.3771,31.239125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,11,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,28880,0.5385748652630401,1208,448,1808,6440,18976,38792,0.000919396,0.000198293,0.000159307,30.365,37.0269,37.9776,32.1493125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,11,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,28880,0.5385748652630401,1208,448,1808,6440,18976,38792,0.000603307,0.000188246,0.000155252,32.1946,37.2528,38.0896,33.56375,full_88blocks_v2
