run,configuration,point,profile,lambda,dataset,sequence,stage,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,r1,1.0,16.0,805285.0,304.0,14688.0,0.00037750610032472975,0.018239505268321153,0.001168676038085205,29.32305860412793,0.0020761094638055756,26.827497518479362,5.5106647403647975e-05,42.58796009921464,30.669226155307697,0.4476828524218393,0.06501732757956212,0.03848885413201006
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,r2,2.0,16.0,805285.0,6128.0,20816.0,0.0076097282328616575,0.02584923350118281,0.0011253523394783298,29.48711481877843,0.0014666269030976793,28.336803527784923,5.378828942368435e-05,42.69312266940824,30.99407688873297,0.4499889511266698,0.0430960603409329,0.04822169822791086
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,r3,3.0,16.0,805285.0,22256.0,43072.0,0.027637420292194688,0.0534866537933775,0.0008327959176729358,30.79461412383763,0.0007065776991118596,31.50840073815269,3.106764165788662e-05,45.07691712752085,32.66912532608741,0.4543712365354672,0.036643354994536755,0.041159814811532844
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,r4,4.0,16.0,805285.0,69600.0,112672.0,0.08642902823224076,0.13991568202561827,0.00039165814704441795,34.07092835086817,0.00018438471139438825,37.342750921344475,1.4273770882204788e-05,48.4546127867288,36.27786672666029,0.463326334110413,0.041048640611656625,0.03962527764058438
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,r5,5.0,16.0,805285.0,95568.0,208240.0,0.11867599669682162,0.2585916787224399,8.354215066989848e-05,40.78094348653772,9.696226663162882e-06,50.133972408046134,1.000214795120617e-05,49.99906725681452,43.10233757301087,0.4605854804619164,0.03984070186724071,0.03986844646677906
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,x_low,0.0,8.0,757691.0,14888.0,14888.0,0.01964917096811233,0.01964917096811233,1.2389381844150634e-06,59.06950361773375,1.2745867190775635e-06,58.946306110886795,1.2971260433065793e-06,58.87017820945318,59.02918825334281,0.47155585287832236,,
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,r1,1.0,8.0,757691.0,488.0,15376.0,0.0006440620252847137,0.020293232993397043,0.001991384097098137,27.008449654060563,0.0024735496262954055,26.066793720553893,0.0010522367389651335,29.77886538833024,27.23704462915594,0.4589302927173586,0.075146443629763,0.03838012539338085
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,r2,2.0,8.0,757691.0,10112.0,25488.0,0.013345809835407839,0.03363904282880488,0.0026420587452907597,25.780575302218782,0.0017999626681209338,27.447365022284764,0.0012444057244754955,29.05037999731125,26.39764960411359,0.46152471833316167,0.060076748574085174,0.07555647233438759
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,r3,3.0,8.0,757691.0,36208.0,61696.0,0.04778729059735433,0.08142633342615921,0.001887567336189047,27.240975466054145,0.0008851121967531799,30.53001674678012,0.0009851968607085318,30.064769806932002,28.00507991875462,0.46506430619826955,0.05134267939267232,0.06604982419224444
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,r4,4.0,8.0,757691.0,105672.0,167368.0,0.13946582445878333,0.22089215788494254,0.0006221734695564088,32.06088511824083,0.00021568103407577216,36.66188042928875,0.0005320569083548288,32.74041913451789,32.720951284156456,0.47354967779949875,0.04939996880921249,0.05042494298202137
full_88blocks_v2,DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,r5,5.0,8.0,757691.0,165512.0,332880.0,0.2184426105100892,0.43933476839503177,0.0001241682626704938,39.05989395370648,7.98118252061044e-05,40.97932757254738,0.000291246093409386,35.35739891277943,38.83701127594571,0.4732183684182776,0.04363798969514826,0.040381976787883286
