label,checkpoint_step,model_id,sample,points,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_full_max_abs_difference
D611_p750,2513,RWT158,RWT158/sutr13_P0.h5,90046,38224,85144,123368,0.42449414743575503,0.9455611576305444,1.3700553050662994,3.97814e-05,3.05947e-05,1.56335e-05,44.0032,45.1435,48.0594,44.6527625,0.0
D611_p1000,2763,RWT158,RWT158/sutr13_P0.h5,90046,38224,89728,127952,0.42449414743575503,0.9964684716700353,1.4209626191057905,3.71523e-05,3.08409e-05,1.58315e-05,44.3001,45.1087,48.0048,44.8642625,0.0
D611_p1500,3263,RWT158,RWT158/sutr13_P0.h5,90046,38224,86936,125160,0.42449414743575503,0.9654620971503454,1.3899562445861005,3.87508e-05,3.0361e-05,1.55607e-05,44.1172,45.1768,48.0797,44.7449625,0.0
D111_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,42768,62456,0.33120804804602727,0.7194791649142876,1.0506872129603149,6.5553e-05,5.06938e-05,5.33571e-05,41.8341,42.9505,42.7281,42.08539999999999,0.0
D111_p500,2263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,43256,62944,0.33120804804602727,0.727688710192958,1.0588967582389852,6.41811e-05,5.01059e-05,5.29841e-05,41.9259,43.0011,42.7585,42.16437499999999,0.0
D111_p750,2513,RWT166,RWT166/model_mesh_P0.h5,59443,19688,41640,61328,0.33120804804602727,0.7005030028767054,1.0317110509227327,6.49107e-05,5.04782e-05,5.29387e-05,41.8768,42.969,42.7623,42.1240125,0.0
D111_p1000,2763,RWT166,RWT166/model_mesh_P0.h5,59443,19688,41616,61304,0.33120804804602727,0.7000992547482462,1.0313073027942734,6.44627e-05,4.92586e-05,5.27852e-05,41.9069,43.0752,42.7749,42.1614375,0.0
D111_p1500,3263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,41944,61632,0.33120804804602727,0.7056171458371886,1.0368251938832158,6.51762e-05,4.94688e-05,5.29775e-05,41.8591,43.0567,42.7591,42.1213,0.0
D411_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,65832,85520,0.33120804804602727,1.1074811163635752,1.4386891644096025,3.59276e-05,5.61194e-05,5.78283e-05,44.4457,42.5089,42.3786,43.945212500000004,0.0
D411_p500,2263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,65152,84840,0.33120804804602727,1.0960415860572312,1.4272496341032586,3.52458e-05,5.91253e-05,5.84798e-05,44.5289,42.2823,42.3299,43.973200000000006,0.0
D411_p750,2513,RWT166,RWT166/model_mesh_P0.h5,59443,19688,60632,80320,0.33120804804602727,1.020002355197416,1.3512104032434433,3.66912e-05,6.05203e-05,5.96685e-05,44.3544,42.181,42.2425,43.8187375,0.0
D411_p1000,2763,RWT166,RWT166/model_mesh_P0.h5,59443,19688,61088,80776,0.33120804804602727,1.0276735696381407,1.358881617684168,3.52849e-05,6.1909e-05,6.01717e-05,44.5241,42.0825,42.2061,43.92914999999999,0.0
D411_p1500,3263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,60560,80248,0.33120804804602727,1.0187911108120384,1.3499991588580658,3.60002e-05,6.34986e-05,6.11776e-05,44.437,41.9724,42.1341,43.84106249999999,0.0
D611_p300,2063,RWT166,RWT166/model_mesh_P0.h5,59443,19688,68688,88376,0.33120804804602727,1.1555271436502195,1.4867351916962468,3.22185e-05,6.1585e-05,6.05822e-05,44.919,42.1053,42.1766,44.2244875,0.0
D611_p500,2263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,67424,87112,0.33120804804602727,1.1342630755513685,1.4654711235973958,3.14765e-05,6.67627e-05,6.26492e-05,45.0201,41.7547,42.0308,44.2382625,0.0
D611_p750,2513,RWT166,RWT166/model_mesh_P0.h5,59443,19688,61872,81560,0.33120804804602727,1.0408626751678078,1.3720707232138352,3.30938e-05,6.96719e-05,6.37267e-05,44.8025,41.5694,41.9568,44.04265,0.0
D611_p1000,2763,RWT166,RWT166/model_mesh_P0.h5,59443,19688,62680,82368,0.33120804804602727,1.054455528825934,1.3856635768719614,3.12813e-05,7.27993e-05,6.48022e-05,45.0472,41.3787,41.8841,44.19324999999999,0.0
D611_p1500,3263,RWT166,RWT166/model_mesh_P0.h5,59443,19688,62400,82088,0.33120804804602727,1.0497451339939101,1.3809531820399374,3.2363e-05,7.11892e-05,6.40584e-05,44.8995,41.4759,41.9342,44.100887500000006,0.0
D111_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,14456,21592,0.08001166089228251,0.16208640272685482,0.24209806361913733,4.1452e-05,8.92246e-06,8.57479e-06,43.8245,50.4952,50.6678,45.51375,0.0
D111_p500,2263,RWT182,RWT182/572883_P0.h5,89187,7136,14888,22024,0.08001166089228251,0.16693015798266564,0.24694181887494815,4.04582e-05,8.91254e-06,8.5859e-06,43.9299,50.5,50.6621,45.592687500000004,0.0
D111_p750,2513,RWT182,RWT182/572883_P0.h5,89187,7136,14912,22048,0.08001166089228251,0.16719925549687734,0.24721091638915985,4.05351e-05,9.04658e-06,8.71662e-06,43.9217,50.4352,50.5965,45.570237500000005,0.0
D111_p1000,2763,RWT182,RWT182/572883_P0.h5,89187,7136,15376,22512,0.08001166089228251,0.1724018074383038,0.2524134683305863,3.99125e-05,8.90597e-06,8.56297e-06,43.9889,50.5032,50.6738,45.6388,0.0
D111_p1500,3263,RWT182,RWT182/572883_P0.h5,89187,7136,14888,22024,0.08001166089228251,0.16693015798266564,0.24694181887494815,4.04445e-05,8.91669e-06,8.53663e-06,43.9314,50.498,50.6871,45.596687499999994,0.0
D411_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,30704,37840,0.08001166089228251,0.34426541984818415,0.42427708074046666,2.72187e-05,9.22042e-06,8.89163e-06,45.6513,50.3525,50.5102,46.8463125,0.0
D411_p500,2263,RWT182,RWT182/572883_P0.h5,89187,7136,31624,38760,0.08001166089228251,0.35458082455963313,0.43459248545191564,2.68917e-05,9.23513e-06,8.94839e-06,45.7038,50.3456,50.4826,46.881375,0.0
D411_p750,2513,RWT182,RWT182/572883_P0.h5,89187,7136,30776,37912,0.08001166089228251,0.34507271239081927,0.4250843732831018,2.73576e-05,9.34777e-06,8.99479e-06,45.6292,50.2929,50.4601,46.816024999999996,0.0
D411_p1000,2763,RWT182,RWT182/572883_P0.h5,89187,7136,32920,40056,0.08001166089228251,0.3691120903270656,0.4491237512193481,2.64952e-05,9.2358e-06,8.98448e-06,45.7683,50.3453,50.4651,46.927525,0.0
D411_p1500,3263,RWT182,RWT182/572883_P0.h5,89187,7136,30896,38032,0.08001166089228251,0.34641819996187784,0.42642986085416035,2.72709e-05,9.2393e-06,9.00919e-06,45.643,50.3436,50.4531,46.8318375,0.0
D611_p300,2063,RWT182,RWT182/572883_P0.h5,89187,7136,34712,41848,0.08001166089228251,0.3892047047215401,0.46921636561382263,2.51198e-05,9.22611e-06,8.98048e-06,45.9998,50.3498,50.467,47.10195,0.0
D611_p500,2263,RWT182,RWT182/572883_P0.h5,89187,7136,35280,42416,0.08001166089228251,0.39557334589121734,0.47558500678349985,2.50888e-05,9.28357e-06,9.01169e-06,46.0052,50.3228,50.4519,47.10073750000001,0.0
D611_p750,2513,RWT182,RWT182/572883_P0.h5,89187,7136,33920,41056,0.08001166089228251,0.38032448675255365,0.46033614764483616,2.58304e-05,9.33099e-06,9.04954e-06,45.8787,50.3007,50.4337,47.000825,0.0
D611_p1000,2763,RWT182,RWT182/572883_P0.h5,89187,7136,37416,44552,0.08001166089228251,0.41952302465605973,0.49953468554834224,2.44307e-05,9.30314e-06,9.02174e-06,46.1206,50.3137,50.4471,47.18555,0.0
D611_p1500,3263,RWT182,RWT182/572883_P0.h5,89187,7136,34376,41512,0.08001166089228251,0.38543733952257614,0.46544900041485865,2.54723e-05,9.30736e-06,9.03729e-06,45.9393,50.3117,50.4396,47.0483875,0.0
D111_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,12360,26160,0.16168148746968472,0.14481037573371763,0.3064918632034023,3.73336e-05,7.45236e-06,6.98356e-06,44.279,51.2771,51.5592,46.063787500000004,0.0
D111_p500,2263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,13040,26840,0.16168148746968472,0.15277728960903542,0.31445877707872016,3.65102e-05,7.38199e-06,6.95786e-06,44.3759,51.3183,51.5752,46.1436125,0.0
D111_p750,2513,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,12552,26352,0.16168148746968472,0.14705985729851323,0.308741344768198,3.63428e-05,7.55445e-06,7.04516e-06,44.3958,51.218,51.5211,46.1392375,0.0
D111_p1000,2763,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,13240,27040,0.16168148746968472,0.15512049957236418,0.3168019870420489,3.61592e-05,7.50389e-06,6.94614e-06,44.4178,51.2471,51.5826,46.1670625,0.0
D111_p1500,3263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,12712,26512,0.16168148746968472,0.14893442526917625,0.31061591273886097,3.64422e-05,7.35319e-06,6.90993e-06,44.384,51.3352,51.6053,46.155562499999995,0.0
D411_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,28904,42704,0.16168148746968472,0.338640703900273,0.5003221913699577,2.2277e-05,7.8533e-06,7.22195e-06,46.5214,51.0495,51.4135,47.698925,0.0
D411_p500,2263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,29552,43352,0.16168148746968472,0.3462327041814582,0.5079141916511429,2.18986e-05,7.86437e-06,7.2276e-06,46.5958,51.0434,51.4101,47.7535375,0.0
D411_p750,2513,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,27224,41024,0.16168148746968472,0.31895774020831136,0.4806392276779961,2.22371e-05,7.9331e-06,7.18338e-06,46.5292,51.0056,51.4367,47.70218750000001,0.0
D411_p1000,2763,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,29744,43544,0.16168148746968472,0.3484821857462538,0.5101636732159385,2.1605e-05,7.89477e-06,7.21968e-06,46.6545,51.0266,51.4148,47.79605000000001,0.0
D411_p1500,3263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,28664,42464,0.16168148746968472,0.3358288519442785,0.49751033941396317,2.16479e-05,7.77849e-06,7.20766e-06,46.6458,51.091,51.4221,47.7984875,0.0
D611_p300,2063,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,32472,46272,0.16168148746968472,0.38044356964605813,0.5421250571157429,2.01155e-05,7.92549e-06,7.27354e-06,46.9647,51.0097,51.3825,48.02255,0.0
D611_p500,2263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,32920,46720,0.16168148746968472,0.38569235996391454,0.5473738474335993,1.97389e-05,7.9214e-06,7.26841e-06,47.0468,51.012,51.3856,48.0848,0.0
D611_p750,2513,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,30384,44184,0.16168148746968472,0.35598045762890584,0.5176619450985905,2.03779e-05,7.95469e-06,7.25056e-06,46.9084,50.9938,51.3963,47.9800625,0.0
D611_p1000,2763,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,33128,46928,0.16168148746968472,0.3881292983257765,0.5498107857954612,1.96279e-05,7.97203e-06,7.25812e-06,47.0713,50.9843,51.3918,48.1004875,0.0
D611_p1500,3263,RWT21,RWT21/AMPHITRITE_P0.h5,85353,13800,31552,45352,0.16168148746968472,0.3696648038147458,0.5313462912844306,1.97918e-05,7.8467e-06,7.23499e-06,47.0351,51.0531,51.4056,48.083662499999996,0.0
D111_p300,2063,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99336,134360,0.6252610907792555,1.7733821297866643,2.39864322056592,8.45337e-05,9.24009e-06,5.4294e-06,40.7297,50.3432,52.6525,43.421737500000006,0.0
D111_p500,2263,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,100032,135056,0.6252610907792555,1.7858073730250825,2.4110684638043383,8.2324e-05,9.207e-06,5.46108e-06,40.8447,50.3588,52.6272,43.506775000000005,0.0
D111_p750,2513,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99480,134504,0.6252610907792555,1.7759528697670266,2.4012139605462823,8.41319e-05,9.70804e-06,5.51915e-06,40.7504,50.1287,52.5813,43.40155,0.0
D111_p1000,2763,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,100096,135120,0.6252610907792555,1.7869499241274658,2.4122110149067213,8.24509e-05,9.3034e-06,5.45064e-06,40.838,50.3136,52.6355,43.4971375,0.0
D111_p1500,3263,RWT226,RWT226/socha_zeny_P0.h5,56015,35024,99688,134712,0.6252610907792555,1.7796661608497724,2.404927251629028,8.30132e-05,9.35005e-06,5.45599e-06,40.8085,50.2919,52.6313,43.471775,0.0
