dataset,sample,operating_point,base_bpp,full_bpp,delta_bpp,base_Y,full_Y,delta_Y,base_YUV611,full_YUV611,delta_YUV611,pending_sample
Owlii,basketball_player,2k,0.09249739706637763,0.10911598220083218,0.01661858513445455,36.913,37.8269,0.9139000000000053,39.09245,39.781487500000004,0.6890375000000049,False
Owlii,basketball_player,32k,0.23675957684902482,0.7627568866276404,0.5259973097786156,40.1079,46.0289,5.920999999999999,41.9698,46.4487625,4.4789625000000015,False
Owlii,basketball_player,4k,0.15043135225698523,0.16116209525795103,0.010730743000965798,38.7556,39.1507,0.39509999999999934,40.594125,40.8840875,0.28996250000000146,False
Owlii,basketball_player,512,0.04815772584609472,0.04967490018424625,0.0015171743381515307,34.2214,34.3225,0.1010999999999953,36.8686875,36.942400000000006,0.07371250000000629,False
Owlii,basketball_player,8k,0.13171283707833417,0.21787025396342957,0.0861574168850954,38.1844,40.2047,2.020300000000006,40.2528,41.8044875,1.5516874999999999,False
Owlii,dancer,16k,0.21620482082166492,0.4089009426840143,0.19269612186234936,38.513,41.4612,2.9482,40.7278625,43.121325000000006,2.3934625000000054,False
Owlii,dancer,1k,0.07260005868628194,0.08606941504590919,0.013469356359627246,33.5125,34.789,1.2764999999999986,36.251287500000004,37.22025,0.9689624999999964,False
Owlii,dancer,2k,0.11192556528279096,0.14077870428666253,0.02885313900387157,35.0693,36.8635,1.7942000000000036,37.606375,38.9577375,1.3513625000000005,False
Owlii,dancer,32k,0.2855230058771747,0.9174774015081805,0.6319543956310057,39.382,45.6367,6.2547,41.49431249999999,46.2951375,4.80082500000001,False
Owlii,dancer,4k,0.19069053242132192,0.2038294223389617,0.013138889917639784,38.0255,38.377,0.3515000000000015,40.140750000000004,40.41055,0.2697999999999965,False
Owlii,dancer,512,0.056270458294280366,0.06123885031864372,0.004968392024363354,32.6528,33.3529,0.7000999999999991,35.515175,36.03355,0.5183749999999989,False
Owlii,dancer,8k,0.16299972366168214,0.28044065990729844,0.1174409362456163,37.3145,39.5917,2.2772000000000006,39.680237500000004,41.4919375,1.8116999999999948,False
Owlii,exercise,16k,0.15188138916660854,0.3289234036286979,0.17704201446208934,38.3509,40.7381,2.3872,40.4887375,42.3730875,1.8843499999999977,False
Owlii,exercise,1k,0.04405899540406272,0.049453215218520155,0.005394219814457438,35.2551,35.5932,0.3381000000000043,37.740925,37.99478750000001,0.253862500000011,False
Owlii,exercise,2k,0.06946763080595535,0.08261216644578266,0.013144535639827315,36.5472,37.1186,0.5714000000000041,38.8619875,39.28917500000001,0.4271875000000094,False
Owlii,exercise,32k,0.20940733334883396,0.9380486254814884,0.7286412921326544,39.0215,45.2752,6.253699999999995,41.094437500000005,45.81968750000001,4.725250000000003,False
Owlii,exercise,4k,0.12188456679609694,0.1298208902012757,0.007936323405178775,37.8766,38.1017,0.22509999999999764,39.948237500000005,40.10765,0.15941249999999485,False
Owlii,exercise,512,0.03322095375386547,0.034560208328489384,0.001339254574623916,34.3692,34.4706,0.10139999999999816,36.964949999999995,37.0369625,0.0720125000000067,False
Owlii,exercise,8k,0.10745037860292807,0.19574197648554179,0.08829159788261372,37.4713,39.13,1.6587000000000032,39.686499999999995,40.966212500000005,1.2797125000000094,False
Owlii,model,16k,0.29618322931790714,0.6210823178843187,0.32489908856641153,36.2527,40.768,4.515300000000003,38.587912499999995,42.149587499999996,3.561675000000001,False
Owlii,model,1k,0.09737364216159512,0.12906933432661097,0.031695692165015846,31.6899,33.068,1.3780999999999963,34.382875000000006,35.4317625,1.0488874999999922,False
Owlii,model,2k,0.14115894215931463,0.207238257405873,0.06607931524655838,32.9551,35.2292,2.274099999999997,35.5084625,37.2133625,1.704900000000002,False
Owlii,model,32k,0.3782320164803004,1.2259154244361503,0.84768340795585,37.0053,45.771,8.765700000000002,39.28283749999999,45.94025,6.657412500000007,False
Owlii,model,4k,0.27019178873592753,0.30676467681735603,0.0365728880814285,36.0268,36.9943,0.9675000000000011,38.163237499999994,38.9079875,0.7447500000000034,False
Owlii,model,512,0.08054062682913851,0.08754627482877363,0.0070056479996351145,31.0083,31.3899,0.3816000000000024,33.815225,34.1052,0.2899750000000054,False
Owlii,model,8k,0.22748895865481827,0.42948514264429766,0.20199618398947938,35.2429,38.599,3.356099999999998,37.6266125,40.217175,2.590562499999997,False
CTC,Facade_00009_vox12,16k,1.5845171153165403,1.6595908112663174,0.07507369594977709,37.3597,37.8815,0.521800000000006,38.74858749999999,39.131037500000005,0.38245000000001284,False
