model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT14,21,RWT14/mesh_P21.h5,50119,32768,896,456,1616,5696,15080,4,0,23744,33072,56816,0.4737524691234861,0.6598695105648557,1.1336219796883418,0.000279557,1.09537e-05,9.78512e-06,35.5353,49.6044,50.0943,39.113812499999995,9.86545e-05,1.0827e-05,9.75059e-06,40.0588,49.6549,50.1097,42.514675,0.0,4.232691928744316
RWT14,22,RWT14/mesh_P22.h5,50119,32768,1120,512,1904,6912,19680,4,0,30128,47552,77680,0.6011293122368763,0.9487818990801892,1.5499112113170654,0.00039697,1.32763e-05,1.23855e-05,34.0124,48.7692,49.0709,37.7393125,9.39495e-05,1.19495e-05,1.10692e-05,40.2711,49.2265,49.5588,42.5514875,0.0,4.300229415297508
RWT14,23,RWT14/mesh_P23.h5,50119,32768,1040,368,1488,5208,12832,4,0,20936,26264,47200,0.4177258125660927,0.5240328019314032,0.941758614497496,0.000218197,8.86377e-06,1.0759e-05,36.6115,50.5238,49.6823,39.9843875,9.22242e-05,8.75899e-06,1.02731e-05,40.3515,50.5755,49.883,42.8209375,0.0,4.273792997002602
RWT14,24,RWT14/mesh_P24.h5,50118,32768,936,464,1656,6552,19672,4,0,29280,46952,76232,0.5842212378786065,0.9368290833632626,1.5210503212418691,0.000365217,1.28212e-05,8.08144e-06,34.3745,48.9207,50.9251,38.261599999999994,0.00011668,1.21608e-05,7.89826e-06,39.33,49.1504,51.0247,42.0193875,0.0,4.294800274074078
RWT14,25,RWT14/mesh_P25.h5,50119,32768,1232,584,2200,7824,20912,4,0,32752,46048,78800,0.6534847063987709,0.918773319499591,1.5722580258983618,0.000394178,1.43464e-05,9.27703e-06,34.0431,48.4326,50.3259,37.8771375,0.000108364,1.26573e-05,8.55702e-06,39.6512,48.9766,50.6768,42.195075,0.0,4.349343024194241
RWT14,26,RWT14/mesh_P26.h5,50119,32768,944,320,1480,4984,13432,4,0,21160,28848,50008,0.422195175482352,0.5755900955725374,0.9977852710548893,0.000255549,1.23138e-05,6.34241e-06,35.9253,49.0961,51.9775,39.578175,9.93302e-05,1.18891e-05,6.3889e-06,40.0292,49.2485,51.9457,42.671175,0.0,4.6633912324905396
RWT14,27,RWT14/mesh_P27.h5,50119,32768,1024,424,1968,7088,19752,4,0,30256,47144,77400,0.6036832339033101,0.9406412737684311,1.5443245076717413,0.000399684,1.64178e-05,1.20647e-05,33.9828,47.8469,49.1848,37.6160625,0.00011039,1.4063e-05,9.78132e-06,39.5707,48.5192,50.096,42.004925,0.0,4.34867399930954
RWT14,28,RWT14/mesh_P28.h5,50118,32768,1368,672,2520,8544,22600,4,0,35704,47144,82848,0.7123987389760166,0.9406600423001716,1.653058781276188,0.00040485,1.65799e-05,1.57085e-05,33.9271,47.8042,48.0386,37.425675000000005,0.000107676,1.31704e-05,1.30365e-05,39.6788,48.804,48.8484,41.96565,0.0,4.371056593954563
RWT14,29,RWT14/mesh_P29.h5,50119,32768,1272,576,2520,8464,23160,4,0,35992,52552,88544,0.7181308485803787,1.0485444641752628,1.7666753127556416,0.000443903,1.30213e-05,9.9627e-06,33.5271,48.8535,50.0162,37.504037499999995,0.000108922,1.1308e-05,8.93603e-06,39.6288,49.4661,50.4886,42.2159375,0.0,4.32657528668642
RWT14,3,RWT14/mesh_P3.h5,50119,32768,1216,352,1816,6336,19184,4,0,28904,47240,76144,0.5767074363016021,0.9425567150182566,1.5192641513198588,0.000437336,1.45216e-05,8.23402e-06,33.5918,48.3799,50.8439,37.596824999999995,0.000119139,1.32876e-05,8.10759e-06,39.2394,48.7655,50.9111,41.889125,0.0,4.257200174033642
RWT14,30,RWT14/mesh_P30.h5,50119,32768,1384,512,2288,8248,22688,4,0,35120,49776,84896,0.7007322572277979,0.993156288034478,1.6938885452622758,0.000436058,1.45782e-05,1.10946e-05,33.6046,48.3629,49.5489,37.442425,0.000107458,1.15964e-05,8.81924e-06,39.6876,49.3568,50.5457,42.25351250000001,0.0,4.323765397071838
RWT14,31,RWT14/mesh_P31.h5,50119,32768,1304,608,2656,8600,23512,4,0,36680,49176,85856,0.7318581775374609,0.9811847802230691,1.71304295776053,0.000430282,1.52884e-05,1.20343e-05,33.6625,48.1564,49.1958,37.4159,0.000107386,1.22517e-05,9.98608e-06,39.6905,49.118,50.0061,42.1583875,0.0,4.345394536852837
RWT14,4,RWT14/mesh_P4.h5,50118,32768,1064,472,1816,6720,20704,4,0,30776,55840,86616,0.6140707929286883,1.114170557484337,1.7282413504130252,0.00045578,1.34525e-05,8.57225e-06,33.4124,48.712,50.6691,37.4819375,0.000118598,1.18621e-05,8.12804e-06,39.2592,49.2584,50.9001,41.9642125,0.0,4.203554064035416
RWT14,5,RWT14/mesh_P5.h5,50119,32768,1280,608,2288,8440,25584,4,0,38200,66888,105088,0.7621859973263633,1.3345836908158581,2.0967696881422215,0.00065335,2.23667e-05,1.20227e-05,31.8485,46.504,49.2,35.849375,0.000112016,1.52606e-05,1.01573e-05,39.5072,48.1643,49.9322,41.8924625,0.0,4.269538886845112
RWT14,6,RWT14/mesh_P6.h5,50119,32768,1208,480,1840,6984,21832,4,0,32344,60088,92432,0.6453440810870129,1.198906602286558,1.844250683373571,0.000510471,1.34771e-05,8.8599e-06,32.9203,48.704,50.5257,37.093937499999996,0.000112758,1.24265e-05,8.42337e-06,39.4785,49.0565,50.7451,42.084075,0.0,4.194967590272427
RWT14,7,RWT14/mesh_P7.h5,50119,32768,1408,672,2616,9656,28648,4,0,43000,75296,118296,0.8579580598176341,1.5023444202797342,2.3603024800973684,0.000919231,1.80902e-05,1.14377e-05,30.3658,47.4256,49.4166,34.879625,0.00010348,1.37769e-05,9.81126e-06,39.8515,48.6085,50.0827,42.225025,0.0,4.283017784357071
RWT14,8,RWT14/mesh_P8.h5,50118,32768,1152,520,2232,7664,23032,4,0,34600,61336,95936,0.6903707250887905,1.2238317570533541,1.9142024821421446,0.000565859,1.76213e-05,1.15522e-05,32.4729,47.5396,49.3733,36.468787500000005,0.00011105,1.48444e-05,9.65678e-06,39.5448,48.2844,50.1517,41.9631125,0.0,4.349606864154339
RWT14,9,RWT14/mesh_P9.h5,50119,32768,1040,560,1928,7376,23328,4,0,34232,64608,98840,0.6830144256669127,1.2890919611325047,1.9721063867994173,0.000574461,1.60896e-05,9.05054e-06,32.4074,47.9346,50.4333,36.601537500000006,0.000112188,1.3817e-05,8.50889e-06,39.5006,48.5959,50.7013,42.037600000000005,0.0,4.322469957172871
RWT144,0,RWT144/cabbage_model_P0.h5,64477,32768,2000,952,3736,11776,30712,4,0,49176,66352,115528,0.762690571831816,1.029080137103153,1.791770708934969,0.000405631,0.000107514,7.94752e-05,33.9187,39.6853,40.9977,35.5244,8.29679e-05,4.31876e-05,5.00885e-05,40.8109,43.6464,43.0026,41.4393,0.0,5.490917205810547
RWT144,1,RWT144/cabbage_model_P1.h5,64478,32768,1920,976,3288,10048,24824,4,0,41056,54416,95472,0.6367443158906914,0.8439467725425727,1.480691088433264,0.000383382,8.11967e-05,5.31528e-05,34.1637,40.9046,42.7447,36.0789375,7.75768e-05,3.63184e-05,3.85565e-05,41.1027,44.3987,44.139,41.8942375,0.0,5.503364361822605
RWT144,10,RWT144/cabbage_model_P10.h5,64477,32768,1856,1112,4088,12392,30256,4,0,49704,59736,109440,0.7708795384400638,0.9264699039967741,1.697349442436838,0.000345984,7.4649e-05,3.49651e-05,34.6094,41.2698,44.5637,36.686237500000004,9.14644e-05,3.82037e-05,3.09414e-05,40.3875,44.1789,45.0946,41.44981250000001,0.0,5.753797948360443
RWT144,11,RWT144/cabbage_model_P11.h5,64478,32768,1624,1088,3736,11696,26664,4,0,44808,54432,99240,0.6949347064114892,0.8441949191972455,1.5391296256087348,0.000327005,9.74285e-05,4.54411e-05,34.8545,40.1131,43.4255,36.583200000000005,8.77758e-05,4.39589e-05,3.52517e-05,40.5663,43.5695,44.5282,41.4369375,0.0,5.5674310848116875
RWT144,12,RWT144/cabbage_model_P12.h5,64477,32768,1544,592,2288,7536,14760,4,0,26720,27960,54680,0.41441134047799993,0.4336430044822185,0.8480543449602184,0.000137556,4.54998e-05,3.24575e-05,38.6152,43.4199,44.8869,39.999750000000006,6.75582e-05,3.28112e-05,2.81796e-05,41.7032,44.8398,45.5007,42.569962499999995,0.0,5.236027903854847
RWT144,13,RWT144/cabbage_model_P13.h5,64478,32768,1688,824,2720,6848,10664,4,0,22744,16848,39592,0.35274046961754396,0.261298427370576,0.61403889698812,8.65269e-05,3.75253e-05,3.66228e-05,40.6285,44.2568,44.3625,41.5487875,5.53218e-05,2.94834e-05,3.09455e-05,42.571,45.3042,45.094,43.228024999999995,0.0,5.279354080557823
RWT144,14,RWT144/cabbage_model_P14.h5,64478,32768,1480,712,2880,8680,17544,4,0,31296,29848,61144,0.4853748565402153,0.4629175842923168,0.9482924408325321,0.000147773,4.28121e-05,4.5238e-05,38.3041,43.6843,43.445,39.6192375,7.59617e-05,3.13576e-05,3.72472e-05,41.1941,45.0366,44.2891,42.061287500000006,0.0,5.290656611323357
