dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
CTC,dancer_vox11_00000001,y_psnr,16k,0.25106855325487376,41.59,41.36408372217024,0.22591627782976076
CTC,dancer_vox11_00000001,y_psnr,1k,0.05587254961704872,36.3351,36.27519278689779,0.059907213102206924
CTC,dancer_vox11_00000001,y_psnr,2k,0.08629575147391311,38.2005,38.02950418572298,0.17099581427702049
CTC,dancer_vox11_00000001,y_psnr,4k,0.1245993648462371,39.2548,39.2786581071184,-0.023858107118400085
CTC,dancer_vox11_00000001,y_psnr,512,0.04160820253953512,35.0219,34.907580869809735,0.11431913019026751
CTC,dancer_vox11_00000001,y_psnr,8k,0.16366818654112725,40.0191,39.94909182523919,0.07000817476081522
CTC,dancer_vox11_00000001,yuv_psnr_611,16k,0.25106855325487376,43.209787500000004,43.003133066039304,0.2066544339607006
CTC,dancer_vox11_00000001,yuv_psnr_611,1k,0.05587254961704872,38.6067125,38.49798821669503,0.10872428330497286
CTC,dancer_vox11_00000001,yuv_psnr_611,2k,0.08629575147391311,40.222737499999994,40.094786719105386,0.12795078089460787
CTC,dancer_vox11_00000001,yuv_psnr_611,4k,0.1245993648462371,41.185424999999995,41.168139422426684,0.017285577573311173
CTC,dancer_vox11_00000001,yuv_psnr_611,512,0.04160820253953512,37.553475000000006,37.37997233695179,0.17350266304821815
CTC,dancer_vox11_00000001,yuv_psnr_611,8k,0.16366818654112725,41.8437625,41.76244903005809,0.0813134699419038
CTC,longdress_viewdep_vox12,y_psnr,16k,0.8656945688832676,39.7339,39.83712040404052,-0.10322040404052046
CTC,longdress_viewdep_vox12,y_psnr,1k,0.3621846942723833,34.554,34.54522664151416,0.008773358485839822
CTC,longdress_viewdep_vox12,y_psnr,2k,0.5793776860214165,37.1762,36.816043920366305,0.3601560796336969
CTC,longdress_viewdep_vox12,y_psnr,4k,0.7420922043769593,38.6836,38.92994968296013,-0.2463496829601297
CTC,longdress_viewdep_vox12,y_psnr,512,0.2882005295656954,33.5813,33.4379990714053,0.143300928594698
CTC,longdress_viewdep_vox12,y_psnr,8k,0.6421943321354908,38.0257,37.295417124573824,0.7302828754261768
CTC,longdress_viewdep_vox12,yuv_psnr_611,16k,0.8656945688832676,40.5011125,40.5955262591312,-0.09441375913119998
CTC,longdress_viewdep_vox12,yuv_psnr_611,1k,0.3621846942723833,35.545075000000004,35.4624888376386,0.0825861623614017
CTC,longdress_viewdep_vox12,yuv_psnr_611,2k,0.5793776860214165,37.972925000000004,37.65415370447608,0.31877129552392347
