dataset,sample,method,endpoint,operating_point,physical_bits,physical_bpp,Y,U,V,YUV611,reconstruction_sha256,result_set
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,237048,0.06786207607315596,37.2621,48.3129,48.9214,40.1008625,da5d4cbc114ec79ea433fbb5277af003de9142e50f8a5d18b6bf6dc5a2b07378,retained_formal
CTC,boxer_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,223808,0.06407173028998722,36.672,46.8533,49.0479,39.49164999999999,f8ffac07dedd1147cb58d159232da1e5c4a5c57f0a8388669d61fb716e10c3a3,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R01,986464,0.3804689832217276,42.7866,46.6445,50.6676,44.2539625,8152a09477e3ca83e2ace3eb64425c21d6744dbe8e31884f0551f268fe494b5a,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R02,717288,0.2766505782645353,41.744,46.1459,50.0669,43.334599999999995,db337cc78ce3d7ff2775ad9982e92f486ed059b80a65c2d1804d02ae58ab3927,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R03,507368,0.19568660090914772,40.3883,45.5656,49.3189,42.1517875,bccbeaf7181ccb069d927c3c03e06d145a93a36eba3a52f91a61e4e69c306f80,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R04,291560,0.11245168272549926,39.0265,44.7663,48.6316,40.9446125,c4cdad124ede2b365b5c3bad5aff9fb8d868bcfebc5605e99b88371686e016b9,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R05,213216,0.08223521053642492,37.848,44.3439,48.0887,39.940075,d8df34db340b7102bbeafc991be4b297bb645bb7236a7a62822ad13f8be2917c,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R06,149544,0.057677577313424544,36.4214,43.9307,46.48,38.6173875,a899f98cef3fcd6ac799244d3bbe0c02ee6b680a0be822f2b2156d34d00fae0e,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R07,110848,0.04275292950595466,35.0445,43.6631,46.0135,37.49295,75e35ce56072d1e94fc122d2714df1b1089b901e68ba997fd6b698fe38482401,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R08,84952,0.032765109586008416,33.7022,43.4285,45.4412,36.38536249999999,7aa0d5eae9ebe1cc3e51e5c38db0b143b995cdea0bf28ec4e2c7101f7c078458,retained_formal
CTC,dancer_vox11_00000001,Original_Unicorn,Original Unicorn,R09,71128,0.02743333546748289,32.6073,43.1569,45.0953,35.487,3f6a9ab3b0075786dc7c217ec9e22b0b9e6a677f1c74e8cd46150d1d70b8d9d6,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,3454496,1.1157493147879831,41.2557,44.4128,43.0285,41.8719375,bba7ea79b9adad6ccd69e2a3d3d91c60cdf023648a657af6b5e8a57da7ef02b2,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,2653904,0.8571703569820569,39.7818,43.4188,42.2564,40.54574999999999,456d47555de900dc33d97ca176c1dd6c1ab8dd9b8c33ceeb34b12d4674bfab37,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,2010944,0.6495041216076111,38.1425,42.1185,41.2329,39.025800000000004,c4e95319a127e1a5955707be3caf2b1a127eb00c59e29e77e2a56e869787b2c1,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,1992536,0.6435586194600859,37.3053,40.7638,39.9742,38.071225,9ab4bb018c802ebf3a1bfa2762a66c3d2cc1bd5fae771b6b12fcd4bbe38e4711,retained_formal
CTC,longdress_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,1568016,0.5064451594607706,36.1895,40.3565,39.4669,37.12005,36f670193e200025e3450f9403d55b2d067dd3ea5ba0d76e2c5682ed74fa0a07,retained_formal
