dataset,sample,operating_point,metric,delta_db,classification,enhancement_bits,delta_bpp,delta_Y,delta_U,delta_V,delta_YUV611
CTC,basketball_player_vox11_00000200,2k,V,-0.004300000000000637,near_zero_negative,12928,0.004419052515216099,0.2838999999999956,0.0251000000000019,-0.004300000000000637,0.21552499999999242
CTC,redandblack_viewdep_vox12,1k,V,-0.0036000000000058208,near_zero_negative,1528,0.0005515116580830093,-0.2417999999999978,0.009199999999999875,-0.0036000000000058208,-0.18064999999999998
8iVFB,soldier,8k,V,-0.0033000000000029672,near_zero_negative,164632,0.151164595061386,2.4801,-0.080600000000004,-0.0033000000000029672,1.8495874999999984
CTC,longdress_viewdep_vox12,4k,V,-0.003099999999996328,near_zero_negative,8744,0.0028241781170121882,0.0409000000000006,-0.07469999999999999,-0.003099999999996328,0.02095000000000624
CTC,soldier_viewdep_vox12,512,V,-0.0030000000000001137,near_zero_negative,64,1.599298707519181e-05,0.017999999999993577,0.4636999999999958,-0.0030000000000001137,0.0710874999999973
CTC,basketball_player_vox11_00000200,1k,V,-0.00269999999999726,near_zero_negative,5760,0.0019688847840071966,0.136099999999999,0.04099999999999682,-0.00269999999999726,0.1068624999999983
CTC,soldier_viewdep_vox12,16k,V,-0.002600000000001046,near_zero_negative,61768,0.015435231650921089,0.16159999999999997,0.041499999999999204,-0.002600000000001046,0.1260624999999962
Owlii,basketball_player,2k,V,-0.002400000000001512,near_zero_negative,13232,0.016618585134454494,0.9139000000000053,0.03130000000000166,-0.002400000000001512,0.6890374999999977
8iVFB,loot,512,V,-0.0022999999999981924,near_zero_negative,224,0.0002781623897130034,0.028199999999998226,0.06850000000000023,-0.0022999999999981924,0.02942499999999626
CTC,longdress_viewdep_vox12,8k,V,-0.00039999999999906777,near_zero_negative,58688,0.018955325403843926,0.2195999999999998,-0.01950000000000074,-0.00039999999999906777,0.16221250000000254
CTC,redandblack_viewdep_vox12,1k,Y,-0.2417999999999978,negative,1528,0.0005515116580830093,-0.2417999999999978,0.009199999999999875,-0.0036000000000058208,-0.18064999999999998
CTC,redandblack_viewdep_vox12,2k,Y,-0.16689999999999827,negative,4984,0.001798909753851774,-0.16689999999999827,-0.13600000000000279,0.004899999999999238,-0.14156249999999915
CTC,loot_viewdep_vox12,1k,Y,-0.1278999999999968,negative,32,1.0605560959595084e-05,-0.1278999999999968,0.5596000000000032,-0.24090000000000344,-0.05608749999999674
CTC,redandblack_viewdep_vox12,512,Y,-0.07630000000000337,negative,32,1.1549982368297407e-05,-0.07630000000000337,0.14630000000000365,0.025900000000000034,-0.03569999999999851
CTC,loot_viewdep_vox12,8k,Y,-0.06709999999999638,negative,5584,0.0018506703874509867,-0.06709999999999638,-0.02559999999999718,-0.04019999999999868,-0.05855000000000388
CTC,longdress_viewdep_vox12,1k,Y,-0.04059999999999775,negative,2560,0.0008268408027848895,-0.04059999999999775,0.052199999999999136,-0.011899999999997135,-0.02541249999999451
CTC,Facade_00009_vox12,1k,Y,-0.009000000000000341,near_zero_negative,6240,0.003909566219844174,-0.009000000000000341,-0.2571000000000012,0.05940000000000367,-0.0314625000000035
CTC,boxer_viewdep_vox12,8k,Y,-0.004100000000001103,near_zero_negative,11040,0.003160530018593788,-0.004100000000001103,-0.018599999999999284,0.01910000000000167,-0.003012499999996976
CTC,redandblack_viewdep_vox12,1k,YUV611,-0.18064999999999998,negative,1528,0.0005515116580830093,-0.2417999999999978,0.009199999999999875,-0.0036000000000058208,-0.18064999999999998
CTC,redandblack_viewdep_vox12,2k,YUV611,-0.14156249999999915,negative,4984,0.001798909753851774,-0.16689999999999827,-0.13600000000000279,0.004899999999999238,-0.14156249999999915
CTC,loot_viewdep_vox12,2k,YUV611,-0.08178749999999724,negative,1080,0.0003579376823867053,0.0006000000000057071,-0.20650000000000546,-0.4513999999999996,-0.08178749999999724
CTC,loot_viewdep_vox12,8k,YUV611,-0.05855000000000388,negative,5584,0.0018506703874509867,-0.06709999999999638,-0.02559999999999718,-0.04019999999999868,-0.05855000000000388
CTC,loot_viewdep_vox12,1k,YUV611,-0.05608749999999674,negative,32,1.0605560959595084e-05,-0.1278999999999968,0.5596000000000032,-0.24090000000000344,-0.05608749999999674
CTC,loot_viewdep_vox12,4k,YUV611,-0.05495000000000516,negative,1480,0.0004905071943817063,0.02360000000000184,-0.19899999999999807,-0.38220000000000454,-0.05495000000000516
CTC,soldier_viewdep_vox12,4k,YUV611,-0.050474999999998715,negative,6064,0.0015153355253721412,0.017099999999999227,-0.1395000000000053,-0.3669000000000011,-0.050474999999998715
CTC,redandblack_viewdep_vox12,512,YUV611,-0.03569999999999851,negative,32,1.1549982368297407e-05,-0.07630000000000337,0.14630000000000365,0.025900000000000034,-0.03569999999999851
CTC,Facade_00009_vox12,1k,YUV611,-0.0314625000000035,negative,6240,0.003909566219844174,-0.009000000000000341,-0.2571000000000012,0.05940000000000367,-0.0314625000000035
CTC,longdress_viewdep_vox12,1k,YUV611,-0.02541249999999451,negative,2560,0.0008268408027848895,-0.04059999999999775,0.052199999999999136,-0.011899999999997135,-0.02541249999999451
8iVFB,loot,4k,YUV611,-0.014687499999993747,negative,1504,0.0018676617595013156,0.016199999999997772,-0.019799999999996487,-0.19489999999999696,-0.014687499999993747
CTC,boxer_viewdep_vox12,4k,YUV611,-0.008162500000004513,near_zero_negative,3728,0.001067251441061401,0.029000000000003467,-0.045800000000006946,-0.19350000000000023,-0.008162500000004513
CTC,boxer_viewdep_vox12,8k,YUV611,-0.003012499999996976,near_zero_negative,11040,0.003160530018593788,-0.004100000000001103,-0.018599999999999284,0.01910000000000167,-0.003012499999996976
