dataset,sample,operating_point,base_bits,full_bits,enhancement_bits,base_bpp,full_bpp,delta_bpp,base_reconstruction_sha256,full_reconstruction_sha256,base_Y,full_Y,delta_Y,class_Y,base_U,full_U,delta_U,class_U,base_V,full_V,delta_V,class_V,base_YUV611,full_YUV611,delta_YUV611,class_YUV611
CTC,House_without_roof_00057_vox12,2k,2229536,2535832,306296,0.4598171279372291,0.5229872884633034,0.06317016052607433,b90caf1bc839f273b3dcd90362aa4164d8613ce93308ceead0ccf191379b3b9d,93ea95036aa192296a705689b1ba5bf7d20a3d9bfe626700197b4bcb8346953f,31.7711,32.9225,1.1513999999999989,positive,40.2157,40.0057,-0.21000000000000085,negative,43.2983,43.2505,-0.04779999999999518,negative,34.267575,35.0989,0.8313249999999996,positive
CTC,House_without_roof_00057_vox12,4k,3481816,3764096,282280,0.7180860201969788,0.7763031464842964,0.05821712628731768,143e3dbabf46a79ce926a583978a319d513b054d98fbe2a42ff267112648f2ce,d27d06dbae4fd98c2cc36e2acb067d9d7090b519c6e90b93859d467581fc1372,34.6994,36.0906,1.3912000000000049,positive,42.9739,42.9712,-0.00269999999999726,near_zero_negative,44.2589,44.2045,-0.05439999999999401,negative,36.92865,37.9649125,1.0362624999999994,positive
CTC,House_without_roof_00057_vox12,8k,3048536,3870832,822296,0.6287268148768392,0.7983162653428877,0.16958945046604845,f40ecda188d7d2c5b69a7105634acd74ed7c2bc7f0770a79b3916775ac397b70,97364f14538ab18b78daac93857a5ac5081a863d1700ecaa17a812cb44dc9089,34.2452,36.6285,2.3833000000000055,positive,42.7707,42.927,0.15630000000000166,positive,44.2073,44.2877,0.08040000000000447,positive,36.55615,38.37321250000001,1.8170625000000058,positive
CTC,House_without_roof_00057_vox12,16k,4007232,5454560,1447328,0.8264472559394235,1.1249426397964837,0.2984953838570602,95a582430ac87e5a9fe88142eadca740220d40d58ffa6d8f36a2c17e43c5e6b4,239f2296e2dd7f020c81d3ef7171e85ab2192b9ac44622da4b3d36c6003d5fac,35.1189,38.7661,3.647200000000005,positive,43.5221,43.7125,0.1903999999999968,positive,44.6873,44.8457,0.15840000000000032,positive,37.36535,40.14435,2.7790000000000035,positive
CTC,House_without_roof_00057_vox12,32k,5163680,10424960,5261280,1.064951858676833,2.150032637311304,1.0850807786344712,4a60b05c09c3cd8a68c154d11bb6b4adc3c4f61d652a6d330957258252a98fc8,1a6542ff9221ce2722af8f16ce2b5c89c43f44d79bfe00fd302707decfe19140,35.7523,43.6625,7.910200000000003,positive,44.0591,44.139,0.07990000000000208,positive,45.0366,45.1565,0.11990000000000123,positive,37.9511875,43.9088125,5.957625,positive
CTC,Shiva_00035_vox12,512,1165048,1169128,4080,1.1545050597939617,1.15854813840013,0.00404307860616826,89b9067b218b88b7f573f8d456d71463147beee73c93f72c3cc4bfd0040e3f4d,e9ccfdbc7ac0f099b76a8853b8141b896927d15096c1ce5cc8349c7798c89e17,24.8186,24.93,0.11139999999999972,positive,34.4761,34.6412,0.16509999999999536,positive,36.3075,36.3539,0.04640000000000555,positive,27.4619,27.5718875,0.10998749999999902,positive
CTC,Shiva_00035_vox12,1k,1339336,1386016,46680,1.3272158647233463,1.37347344054098,0.04625757581763379,391757d1cea18c33dbdb195dbefd71a866d564866d2a1d92f303f9ad45a2971f,0746a4eff227842b50021bb16d5dbaf8c1b5987fe6f5d41eb1d8c330fbde626a,25.371,25.718,0.3470000000000013,positive,34.5405,34.7963,0.2558000000000007,positive,36.3311,36.4958,0.1647000000000034,positive,27.8872,28.2000125,0.3128124999999997,positive
CTC,Shiva_00035_vox12,2k,2279360,2441416,162056,2.2587332479794515,2.419322744695441,0.16058949671598954,cddf71b28139ff6c5ac20a525d5fadb133782731a6d7d1845051c369c1e5be75,b5459b7950ae0a2e00ce2cedb6acc45490d1664ee16e5db6d5dc24885a0a31c2,27.898,29.1324,1.2344000000000008,positive,35.0316,35.2414,0.20980000000000132,positive,37.1149,37.1323,0.01740000000000208,positive,29.9418125,30.8960125,0.9542000000000002,positive
CTC,Shiva_00035_vox12,4k,3012864,3051264,38400,2.9855995053174413,3.023652009846085,0.03805250452864373,268bc23a8ee14e71ac06b4c565de876bf3c8adf71db7098b1f142be8b0d6bd6d,946871b6606e000074e4b2e5db38ea0d890bf708c4dd0d9efa93ba003974810d,34.0224,34.9218,0.8994,positive,37.2798,37.1637,-0.11610000000000298,negative,37.8141,37.7414,-0.07270000000000465,negative,34.9035375,35.5544875,0.6509500000000017,positive
CTC,Shiva_00035_vox12,8k,2794392,2901032,106640,2.7691045373647847,2.874779513482874,0.10567497611808951,37425630446a5635e54026bed256dd741931766692d34d612660df2b338e7435,cdeef4cdf8dd6b476e4daf3b305fcf7a6cbda8de69bbf7e475b46837c833b3fc,33.3182,34.3121,0.9939000000000036,positive,37.3637,37.4505,0.08679999999999666,positive,38.0681,37.9799,-0.0882000000000005,negative,34.417625,35.162875,0.7452499999999986,positive
CTC,Shiva_00035_vox12,16k,3456440,3636464,180024,3.4251614258590557,3.6035563236524064,0.17839489779335072,81bd8116f4678b0a462e190da75e425e2e090a3110e69c026a16d58ff4c73a6f,aa1c22546eda02d9130a2e4039bb0f0e74e5e12f0de8225f32c74e4f3da4bc0e,35.1246,36.9391,1.8145000000000024,positive,38.2772,38.3767,0.09949999999999903,positive,38.547,38.5262,-0.020799999999994156,negative,35.946475,37.3171875,1.3707125000000033,positive
CTC,Shiva_00035_vox12,32k,4250984,5341192,1090208,4.212515310187369,5.292857624176024,1.0803423139886554,c026f1fb4cb1bd92f92b263d81204ac2e33811b449e07e121973535bb4be76a2,97880fbfa3d076ecec7d58a625006d1c5ab94a33b3244d4f9dafc3088eba274d,36.559,42.7948,6.235800000000005,positive,38.8123,38.9245,0.11220000000000141,positive,38.8691,38.7867,-0.0823999999999998,negative,37.129425,41.81,4.680575000000005,positive
CTC,Staue_Klimt_vox12,512,506408,507432,1024,1.0135051835247968,1.0155545771124364,0.0020493935876395586,eb87234469fbc9bc1c680da16cb54d60900c7e6a09f9be38597112633f890262,6c84dcff9bf72c0bd8a0203f57f87de48d84dd58f95c830b8d99c463a258fa64,27.7574,28.0401,0.2826999999999984,positive,35.0234,35.3224,0.2989999999999995,positive,35.0343,35.1794,0.14509999999999934,positive,29.5752625,29.8428,0.26753749999999954,positive
