record_type,dataset,sequence,arm,step,profile,lambda,bpp,Y,U,V,YUV611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,bit_identity,hard_prefix_decode_used,baseline_point,baseline_bpp,baseline_YUV611,delta_bpp_vs_baseline,delta_YUV611_vs_baseline,official_interp_YUV611,official_bracket,delta_to_official_curve,baseline_official_interp_YUV611,baseline_delta_to_official_curve,rd_rescue_gain_vs_baseline
candidate_external,owlii,model,4K-H-BS,1000,8k256,4096,0.1387629132427727,32.4449,42.3396,44.1915,35.1500625,10376.0,480.0,4800.0,19512.0,56104.0,True,True,4K,0.1387629132427727,35.124412500000005,0.0,0.0256499999999917,35.78560316353321,R08_to_R07,-0.635540663533213,35.78560316353321,-0.6611906635332048,0.025649999999991735
candidate_external,owlii,model,4K-H-BS,500,8k256,4096,0.1387629132427727,32.4362,42.3085,44.2352,35.1451125,10376.0,480.0,4800.0,19512.0,56104.0,True,True,4K,0.1387629132427727,35.124412500000005,0.0,0.0206999999999979,35.78560316353321,R08_to_R07,-0.6404906635332068,35.78560316353321,-0.6611906635332048,0.020699999999997942
candidate_external,owlii,model,4K-H-BS,1500,8k256,4096,0.1387629132427727,32.4462,42.3393,44.2802,35.1620875,10376.0,480.0,4800.0,19512.0,56104.0,True,True,4K,0.1387629132427727,35.124412500000005,0.0,0.037674999999993,35.78560316353321,R08_to_R07,-0.6235156635332118,35.78560316353321,-0.6611906635332048,0.03767499999999302
candidate_external,owlii,model,4K-H-BS,250,8k256,4096,0.1387629132427727,32.4197,42.2715,44.243,35.1290875,10376.0,480.0,4800.0,19512.0,56104.0,True,True,4K,0.1387629132427727,35.124412500000005,0.0,0.0046749999999917,35.78560316353321,R08_to_R07,-0.656515663533213,35.78560316353321,-0.6611906635332048,0.004674999999991769
candidate_external,8ivfb,longdress,4K-H-BS,1000,8k256,4096,0.2592643531328747,26.9394,34.8358,32.6695,28.6427125,15632.0,680.0,12056.0,44640.0,149432.0,True,True,4K,0.2592643531328747,28.5869125,0.0,0.0557999999999978,30.9045808908441,R07_to_R06,-2.2618683908441035,30.9045808908441,-2.3176683908441014,0.05579999999999785
candidate_external,8ivfb,longdress,4K-H-BS,500,8k256,4096,0.2592643531328747,26.9395,34.8734,32.6432,28.6442,15632.0,680.0,12056.0,44640.0,149432.0,True,True,4K,0.2592643531328747,28.5869125,0.0,0.057287500000001,30.9045808908441,R07_to_R06,-2.2603808908441003,30.9045808908441,-2.3176683908441014,0.057287500000001046
candidate_external,8ivfb,longdress,4K-H-BS,1500,8k256,4096,0.2592643531328747,26.9529,34.8469,32.6824,28.6558375,15632.0,680.0,12056.0,44640.0,149432.0,True,True,4K,0.2592643531328747,28.5869125,0.0,0.0689250000000001,30.9045808908441,R07_to_R06,-2.248743390844101,30.9045808908441,-2.3176683908441014,0.06892500000000057
candidate_external,8ivfb,longdress,4K-H-BS,250,8k256,4096,0.2592643531328747,26.9349,34.8391,32.6566,28.6381375,15632.0,680.0,12056.0,44640.0,149432.0,True,True,4K,0.2592643531328747,28.5869125,0.0,0.0512249999999987,30.9045808908441,R07_to_R06,-2.266443390844102,30.9045808908441,-2.3176683908441014,0.05122499999999919
candidate_external,8ivfb,loot,4K-H-BS,1000,8k256,4096,0.1086422819250327,36.5993,48.848,48.8443,39.6610125,11944.0,160.0,4912.0,17840.0,52632.0,True,True,4K,0.1086422819250327,39.6615375,0.0,-0.0005250000000032,39.71179186837731,R06_to_R05,-0.050779368377313,39.71179186837731,-0.05025436837730979,-0.0005250000000032104
candidate_external,8ivfb,loot,4K-H-BS,500,8k256,4096,0.1086422819250327,36.6274,48.8067,48.8141,39.67315,11944.0,160.0,4912.0,17840.0,52632.0,True,True,4K,0.1086422819250327,39.6615375,0.0,0.0116124999999982,39.71179186837731,R06_to_R05,-0.0386418683773115,39.71179186837731,-0.05025436837730979,0.01161249999999829
candidate_external,8ivfb,loot,4K-H-BS,1500,8k256,4096,0.1086422819250327,36.6045,48.8982,48.8372,39.670300000000005,11944.0,160.0,4912.0,17840.0,52632.0,True,True,4K,0.1086422819250327,39.6615375,0.0,0.0087625000000031,39.71179186837731,R06_to_R05,-0.0414918683773066,39.71179186837731,-0.05025436837730979,0.008762500000003191
candidate_external,8ivfb,loot,4K-H-BS,250,8k256,4096,0.1086422819250327,36.6213,48.7293,48.7892,39.6557875,11944.0,160.0,4912.0,17840.0,52632.0,True,True,4K,0.1086422819250327,39.6615375,0.0,-0.005749999999999,39.71179186837731,R06_to_R05,-0.0560043683773088,39.71179186837731,-0.05025436837730979,-0.005749999999999013
